date,location,total_cases
10/02/2021,United States,27441359
10/02/2021,Hungary,380013
10/02/2021,Japan,411017
10/02/2021,Greenland,30
10/02/2021,South Africa,1482412
10/02/2021,India,10871294
11/02/2021,China,89748
11/02/2021,Chile,764307
11/02/2021,Australia,28887
11/02/2021,Egypt,171993
11/02/2021,United Kingdom,4002601
11/02/2021,United States,27548157
11/02/2021,Hungary,381875
11/02/2021,Japan,412707
11/02/2021,Greenland,30
11/02/2021,South Africa,1484900
11/02/2021,India,10880603
12/02/2021,China,89756
12/02/2021,Chile,768471
12/02/2021,Australia,28892
12/02/2021,Egypt,172602
12/02/2021,United Kingdom,4017757
12/02/2021,United States,27648752
12/02/2021,Hungary,383735
12/02/2021,Japan,414007
12/02/2021,Greenland,30
12/02/2021,South Africa,1487681
12/02/2021,India,10892746
13/02/2021,China,89763
13/02/2021,Chile,772396
13/02/2021,Australia,28898
13/02/2021,Egypt,173202
13/02/2021,United Kingdom,4031078
13/02/2021,United States,27739553
13/02/2021,Hungary,385755
13/02/2021,Japan,415367
13/02/2021,Greenland,30
13/02/2021,South Africa,1490063
13/02/2021,India,10904940
14/02/2021,China,89772
14/02/2021,Chile,776209
14/02/2021,Australia,28900
14/02/2021,Egypt,173813
14/02/2021,United Kingdom,4042063
14/02/2021,United States,27807855
14/02/2021,Hungary,387462
14/02/2021,Japan,416729
14/02/2021,Greenland,30
14/02/2021,South Africa,1491807
14/02/2021,India,10916589
15/02/2021,China,89788
15/02/2021,Chile,779541
15/02/2021,Australia,28905
15/02/2021,Egypt,174426
15/02/2021,United Kingdom,4051838
15/02/2021,United States,27863210
15/02/2021,Hungary,388799
15/02/2021,Japan,417694
15/02/2021,Greenland,30
15/02/2021,South Africa,1492909
15/02/2021,India,10925710
16/02/2021,China,89795
16/02/2021,Chile,782039
16/02/2021,Australia,28911
16/02/2021,Egypt,175059
16/02/2021,United Kingdom,4062470
16/02/2021,United States,27922498
16/02/2021,Hungary,389622
16/02/2021,Japan,419002
16/02/2021,Greenland,30
16/02/2021,South Africa,1494119
16/02/2021,India,10937320
17/02/2021,China,89806
17/02/2021,Chile,784314
17/02/2021,Australia,28912
17/02/2021,Egypt,175677
17/02/2021,United Kingdom,4075191
17/02/2021,United States,27991320
17/02/2021,Hungary,391170
17/02/2021,Japan,420450
17/02/2021,Greenland,30
17/02/2021,South Africa,1496439
17/02/2021,India,10950201
18/02/2021,China,89816
18/02/2021,Chile,788142
18/02/2021,Australia,28918
18/02/2021,Egypt,176333
18/02/2021,United Kingdom,4087252
18/02/2021,United States,28063912
18/02/2021,Hungary,394023
18/02/2021,Japan,421986
18/02/2021,Greenland,30
18/02/2021,South Africa,1498766
18/02/2021,India,10963394
19/02/2021,China,89824
19/02/2021,Chile,791939
19/02/2021,Australia,28920
19/02/2021,Egypt,176943
19/02/2021,United Kingdom,4099283
19/02/2021,United States,28139107
19/02/2021,Hungary,397116
19/02/2021,Japan,423287
19/02/2021,Greenland,30
19/02/2021,South Africa,1500677
19/02/2021,India,10977387
20/02/2021,China,89831
20/02/2021,Chile,795845
20/02/2021,Australia,28926
20/02/2021,Egypt,177543
20/02/2021,United Kingdom,4109694
20/02/2021,United States,28212916
20/02/2021,Hungary,400111
20/02/2021,Japan,424520
20/02/2021,Greenland,30
20/02/2021,South Africa,1502367
20/02/2021,India,10991651
21/02/2021,China,89842
21/02/2021,Chile,799460
21/02/2021,Australia,28930
21/02/2021,Egypt,178151
21/02/2021,United Kingdom,4119532
21/02/2021,United States,28268191
21/02/2021,Hungary,403023
21/02/2021,Japan,425552
21/02/2021,Greenland,30
21/02/2021,South Africa,1503796
21/02/2021,India,11005850
22/02/2021,China,89852
22/02/2021,Chile,803009
22/02/2021,Australia,28937
22/02/2021,Egypt,178774
22/02/2021,United Kingdom,4130174
22/02/2021,United States,28323630
22/02/2021,Hungary,405646
22/02/2021,Japan,426292
22/02/2021,Greenland,30
22/02/2021,South Africa,1504588
22/02/2021,India,11016434
23/02/2021,China,89864
23/02/2021,Chile,805317
23/02/2021,Australia,28939
23/02/2021,Egypt,179407
23/02/2021,United Kingdom,4138667
23/02/2021,United States,28397482
23/02/2021,Hungary,407274
23/02/2021,Japan,427373
23/02/2021,Greenland,30
23/02/2021,South Africa,1505586
23/02/2021,India,11030176
24/02/2021,China,89871
24/02/2021,Chile,807872
24/02/2021,Australia,28947
24/02/2021,Egypt,180051
24/02/2021,United Kingdom,4148605
24/02/2021,United States,28472531
24/02/2021,Hungary,410129
24/02/2021,Japan,428294
24/02/2021,Greenland,30
24/02/2021,South Africa,1507448
24/02/2021,India,11046914
25/02/2021,China,89877
25/02/2021,Chile,812344
25/02/2021,Australia,28957
25/02/2021,Egypt,180640
25/02/2021,United Kingdom,4158591
25/02/2021,United States,28549814
25/02/2021,Hungary,414514
25/02/2021,Japan,429370
25/02/2021,Greenland,30
25/02/2021,South Africa,1509124
25/02/2021,India,11063491
26/02/2021,China,89887
26/02/2021,Chile,816929
26/02/2021,Australia,28965
26/02/2021,Egypt,181241
26/02/2021,United Kingdom,4167114
26/02/2021,United States,28625254
26/02/2021,Hungary,419182
26/02/2021,Japan,430424
26/02/2021,Greenland,30
26/02/2021,South Africa,1510778
26/02/2021,India,11079979
27/02/2021,China,89893
27/02/2021,Chile,821418
27/02/2021,Australia,28970
27/02/2021,Egypt,181829
27/02/2021,United Kingdom,4174550
27/02/2021,United States,28696577
27/02/2021,Hungary,424130
27/02/2021,Japan,431637
27/02/2021,Greenland,30
27/02/2021,South Africa,1512225
27/02/2021,India,11096731
28/02/2021,China,89912
28/02/2021,Chile,824625
28/02/2021,Australia,28978
28/02/2021,Egypt,182424
28/02/2021,United Kingdom,4180588
28/02/2021,United States,28748325
28/02/2021,Hungary,428599
28/02/2021,Japan,432636
28/02/2021,Greenland,30
28/02/2021,South Africa,1513393
28/02/2021,India,11112241
01/03/2021,China,89923
01/03/2021,Chile,829770
01/03/2021,Australia,28986
01/03/2021,Egypt,183010
01/03/2021,United Kingdom,4186045
01/03/2021,United States,28798730
01/03/2021,Hungary,432925
01/03/2021,Japan,433334
01/03/2021,Greenland,30
01/03/2021,South Africa,1513959
01/03/2021,India,11124527
02/03/2021,China,89933
02/03/2021,Chile,832512
02/03/2021,Australia,28996
02/03/2021,Egypt,183591
02/03/2021,United Kingdom,4192436
02/03/2021,United States,28857142
02/03/2021,Hungary,435689
02/03/2021,Japan,434222
02/03/2021,Greenland,30
02/03/2021,South Africa,1514815
02/03/2021,India,11139516
03/03/2021,China,89943
03/03/2021,Chile,835552
03/03/2021,Australia,29007
03/03/2021,Egypt,184168
03/03/2021,United Kingdom,4198822
03/03/2021,United States,28924184
03/03/2021,Hungary,439900
03/03/2021,Japan,435465
03/03/2021,Greenland,30
03/03/2021,South Africa,1516262
03/03/2021,India,11156923
04/03/2021,China,89952
04/03/2021,Chile,840119
04/03/2021,Australia,29021
04/03/2021,Egypt,184755
04/03/2021,United Kingdom,4205395
04/03/2021,United States,28993155
04/03/2021,Hungary,446178
04/03/2021,Japan,436634
04/03/2021,Greenland,31
04/03/2021,South Africa,1517666
04/03/2021,India,11173761
05/03/2021,China,89962
05/03/2021,Chile,845450
05/03/2021,Australia,29029
05/03/2021,Egypt,185334
05/03/2021,United Kingdom,4211343
05/03/2021,United States,29061062
05/03/2021,Hungary,452547
05/03/2021,Japan,437782
05/03/2021,Greenland,31
05/03/2021,South Africa,1518979
05/03/2021,India,11192045
06/03/2021,China,89975
06/03/2021,Chile,850483
06/03/2021,Australia,29034
06/03/2021,Egypt,185922
06/03/2021,United Kingdom,4217382
06/03/2021,United States,29122125
06/03/2021,Hungary,459816
06/03/2021,Japan,438825
06/03/2021,Greenland,31
06/03/2021,South Africa,1520206
06/03/2021,India,11210799
07/03/2021,China,89994
07/03/2021,Chile,855785
07/03/2021,Australia,29046
07/03/2021,Egypt,186503
07/03/2021,United Kingdom,4222560
07/03/2021,United States,29163741
07/03/2021,Hungary,466017
07/03/2021,Japan,439896
07/03/2021,Greenland,31
07/03/2021,South Africa,1521068
07/03/2021,India,11229398
08/03/2021,China,90002
08/03/2021,Chile,860533
08/03/2021,Australia,29061
08/03/2021,Egypt,187094
08/03/2021,United Kingdom,4227272
08/03/2021,United States,29207775
08/03/2021,Hungary,468713
08/03/2021,Japan,440496
08/03/2021,Greenland,31
08/03/2021,South Africa,1521706
08/03/2021,India,11244786
09/03/2021,China,90007
09/03/2021,Chile,864064
09/03/2021,Australia,29074
09/03/2021,Egypt,187716
09/03/2021,United Kingdom,4233038
09/03/2021,United States,29263267
09/03/2021,Hungary,475207
09/03/2021,Japan,441623
09/03/2021,Greenland,31
09/03/2021,South Africa,1522697
09/03/2021,India,11262707
10/03/2021,China,90018
10/03/2021,Chile,867949
10/03/2021,Australia,29090
10/03/2021,Egypt,188361
10/03/2021,United Kingdom,4238965
10/03/2021,United States,29321033
10/03/2021,Hungary,480860
10/03/2021,Japan,442936
10/03/2021,Greenland,31
10/03/2021,South Africa,1524174
10/03/2021,India,11285561
11/03/2021,China,90027
11/03/2021,Chile,873512
11/03/2021,Australia,29102
11/03/2021,Egypt,189000
11/03/2021,United Kingdom,4245718
11/03/2021,United States,29382813
11/03/2021,Hungary,489172
11/03/2021,Japan,444253
11/03/2021,Greenland,31
11/03/2021,South Africa,1525648
11/03/2021,India,11308846
12/03/2021,China,90034
12/03/2021,Chile,879485
12/03/2021,Australia,29112
12/03/2021,Egypt,189639
12/03/2021,United Kingdom,4252327
12/03/2021,United States,29445440
12/03/2021,Hungary,498183
12/03/2021,Japan,445524
12/03/2021,Greenland,31
12/03/2021,South Africa,1526873
12/03/2021,India,11333728
13/03/2021,China,90044
13/03/2021,Chile,885379
13/03/2021,Australia,29117
13/03/2021,Egypt,190280
13/03/2021,United Kingdom,4257861
13/03/2021,United States,29502321
13/03/2021,Hungary,507627
13/03/2021,Japan,446843
13/03/2021,Greenland,31
13/03/2021,South Africa,1528414
13/03/2021,India,11359048
14/03/2021,China,90049
14/03/2021,Chile,891110
14/03/2021,Australia,29130
14/03/2021,Egypt,190924
14/03/2021,United Kingdom,4262479
14/03/2021,United States,29541607
14/03/2021,Hungary,516490
14/03/2021,Japan,447830
14/03/2021,Greenland,31
14/03/2021,South Africa,1529420
14/03/2021,India,11385339
15/03/2021,China,90062
15/03/2021,Chile,896231
15/03/2021,Australia,29137
15/03/2021,Egypt,191555
15/03/2021,United Kingdom,4267569
15/03/2021,United States,29592519
15/03/2021,Hungary,524196
15/03/2021,Japan,448525
15/03/2021,Greenland,31
15/03/2021,South Africa,1530033
15/03/2021,India,11409831
16/03/2021,China,90066
16/03/2021,Chile,900782
16/03/2021,Australia,29154
16/03/2021,Egypt,192195
16/03/2021,United Kingdom,4272863
16/03/2021,United States,29646605
16/03/2021,Hungary,529122
16/03/2021,Japan,449658
16/03/2021,Greenland,31
16/03/2021,South Africa,1530966
16/03/2021,India,11438734
17/03/2021,China,90072
17/03/2021,Chile,904212
17/03/2021,Australia,29166
17/03/2021,Egypt,192840
17/03/2021,United Kingdom,4278621
17/03/2021,United States,29705897
17/03/2021,Hungary,532578
17/03/2021,Japan,451191
17/03/2021,Greenland,31
17/03/2021,South Africa,1532497
17/03/2021,India,11474605
18/03/2021,China,90083
18/03/2021,Chile,911469
18/03/2021,Australia,29183
18/03/2021,Egypt,193482
18/03/2021,United Kingdom,4284925
18/03/2021,United States,29768292
18/03/2021,Hungary,539080
18/03/2021,Japan,452688
18/03/2021,Greenland,31
18/03/2021,South Africa,1533961
18/03/2021,India,11514331
19/03/2021,China,90087
19/03/2021,Chile,918053
19/03/2021,Australia,29192
19/03/2021,Egypt,194127
19/03/2021,United Kingdom,4289727
19/03/2021,United States,29829947
19/03/2021,Hungary,549839
19/03/2021,Japan,454151
19/03/2021,Greenland,31
19/03/2021,South Africa,1535423
19/03/2021,India,11555284
20/03/2021,China,90099
20/03/2021,Chile,925089
20/03/2021,Australia,29196
20/03/2021,Egypt,194771
20/03/2021,United Kingdom,4295314
20/03/2021,United States,29888855
20/03/2021,Hungary,560971
20/03/2021,Japan,455667
20/03/2021,Greenland,31
20/03/2021,South Africa,1536801
20/03/2021,India,11599130
21/03/2021,China,90106
21/03/2021,Chile,931939
21/03/2021,Australia,29206
21/03/2021,Egypt,195418
21/03/2021,United Kingdom,4300626
21/03/2021,United States,29924232
21/03/2021,Hungary,571596
21/03/2021,Japan,456785
21/03/2021,Greenland,31
21/03/2021,South Africa,1537852
21/03/2021,India,11646081
22/03/2021,China,90115
22/03/2021,Chile,938094
22/03/2021,Australia,29211
22/03/2021,Egypt,196061
22/03/2021,United Kingdom,4305968
22/03/2021,United States,29971545
22/03/2021,Hungary,580642
22/03/2021,Japan,457601
22/03/2021,Greenland,31
22/03/2021,South Africa,1538451
22/03/2021,India,11686796
23/03/2021,China,90125
23/03/2021,Chile,942958
23/03/2021,Australia,29221
23/03/2021,Egypt,196709
23/03/2021,United Kingdom,4311347
23/03/2021,United States,30024425
23/03/2021,Hungary,586123
23/03/2021,Japan,459101
23/03/2021,Greenland,31
23/03/2021,South Africa,1538961
23/03/2021,India,11734058
24/03/2021,China,90136
24/03/2021,Chile,947783
24/03/2021,Australia,29230
24/03/2021,Egypt,197350
24/03/2021,United Kingdom,4316952
24/03/2021,United States,30112119
24/03/2021,Hungary,593710
24/03/2021,Japan,461018
24/03/2021,Greenland,31
24/03/2021,South Africa,1540009
24/03/2021,India,11787534
25/03/2021,China,90147
25/03/2021,Chile,954843
25/03/2021,Australia,29239
25/03/2021,Egypt,198011
25/03/2021,United Kingdom,4323172
25/03/2021,United States,30179762
25/03/2021,Hungary,603347
25/03/2021,Japan,462933
25/03/2021,Greenland,31
25/03/2021,South Africa,1541563
25/03/2021,India,11846652
26/03/2021,China,90159
26/03/2021,Chile,962321
26/03/2021,Australia,29252
26/03/2021,Egypt,198681
26/03/2021,United Kingdom,4329359
26/03/2021,United States,30256169
26/03/2021,Hungary,614612
26/03/2021,Japan,464958
26/03/2021,Greenland,31
26/03/2021,South Africa,1543079
26/03/2021,India,11908910
27/03/2021,China,90170
27/03/2021,Chile,969913
27/03/2021,Australia,29259
27/03/2021,Egypt,199364
27/03/2021,United Kingdom,4333224
27/03/2021,United States,30320326
27/03/2021,Hungary,624779
27/03/2021,Japan,467029
27/03/2021,Greenland,31
27/03/2021,South Africa,1544466
27/03/2021,India,11971624
28/03/2021,China,90182
28/03/2021,Chile,977243
28/03/2021,Australia,29276
28/03/2021,Egypt,200050
28/03/2021,United Kingdom,4337086
28/03/2021,United States,30366638
28/03/2021,Hungary,633861
28/03/2021,Japan,468811
28/03/2021,Greenland,31
28/03/2021,South Africa,1545431
28/03/2021,India,12039644
29/03/2021,China,90190
29/03/2021,Chile,984484
29/03/2021,Australia,29296
29/03/2021,Egypt,200739
29/03/2021,United Kingdom,4341741
29/03/2021,United States,30432325
29/03/2021,Hungary,641124
29/03/2021,Japan,470156
29/03/2021,Greenland,31
29/03/2021,South Africa,1545979
29/03/2021,India,12095855
30/03/2021,China,90201
30/03/2021,Chile,989492
30/03/2021,Australia,29304
30/03/2021,Egypt,201432
30/03/2021,United Kingdom,4345782
30/03/2021,United States,30494045
30/03/2021,Hungary,645733
30/03/2021,Japan,472243
30/03/2021,Greenland,31
30/03/2021,South Africa,1546735
30/03/2021,India,12149335
31/03/2021,China,90217
31/03/2021,Chile,995538
31/03/2021,Australia,29322
31/03/2021,Egypt,202131
31/03/2021,United Kingdom,4349834
31/03/2021,United States,30563583
31/03/2021,Hungary,652433
31/03/2021,Japan,475086
31/03/2021,Greenland,31
31/03/2021,South Africa,1548157
31/03/2021,India,12221665
01/04/2021,China,90226
01/04/2021,Chile,1003406
01/04/2021,Australia,29333
01/04/2021,Egypt,202843
01/04/2021,United Kingdom,4354313
01/04/2021,United States,30640483
01/04/2021,Hungary,661721
01/04/2021,Japan,477691
01/04/2021,Greenland,31
01/04/2021,South Africa,1549451
01/04/2021,India,12303131
02/04/2021,China,90252
02/04/2021,Chile,1011485
02/04/2021,Australia,29341
02/04/2021,Egypt,203546
02/04/2021,United Kingdom,4357716
02/04/2021,United States,30714550
02/04/2021,Hungary,670776
02/04/2021,Japan,480445
02/04/2021,Greenland,31
02/04/2021,South Africa,1550724
02/04/2021,India,12392260
03/04/2021,China,90272
03/04/2021,Chile,1019478
03/04/2021,Australia,29348
03/04/2021,Egypt,204256
03/04/2021,United Kingdom,4361139
03/04/2021,United States,30779492
03/04/2021,Hungary,679413
03/04/2021,Japan,483217
03/04/2021,Greenland,31
03/04/2021,South Africa,1551501
03/04/2021,India,12485509
04/04/2021,China,90305
04/04/2021,Chile,1026785
04/04/2021,Australia,29357
04/04/2021,Egypt,204965
04/04/2021,United Kingdom,4363436
04/04/2021,United States,30817399
04/04/2021,Hungary,685979
04/04/2021,Japan,485684
04/04/2021,Greenland,31
04/04/2021,South Africa,1551964
04/04/2021,India,12589067
05/04/2021,China,90329
05/04/2021,Chile,1032612
05/04/2021,Australia,29365
05/04/2021,Egypt,205732
05/04/2021,United Kingdom,4366198
05/04/2021,United States,30884310
05/04/2021,Hungary,689853
05/04/2021,Japan,487255
05/04/2021,Greenland,31
05/04/2021,South Africa,1552416
05/04/2021,India,12686049
06/04/2021,China,90341
06/04/2021,Chile,1037780
06/04/2021,Australia,29379
06/04/2021,Egypt,206510
06/04/2021,United Kingdom,4368578
06/04/2021,United States,30947207
06/04/2021,Hungary,691743
06/04/2021,Japan,489921
06/04/2021,Greenland,31
06/04/2021,South Africa,1552853
06/04/2021,India,12801785
07/04/2021,China,90365
07/04/2021,Chile,1043022
07/04/2021,Australia,29385
07/04/2021,Egypt,207293
07/04/2021,United Kingdom,4371340
07/04/2021,United States,31022976
07/04/2021,Hungary,693676
07/04/2021,Japan,493369
07/04/2021,Greenland,31
07/04/2021,South Africa,1553609
07/04/2021,India,12928574
08/04/2021,China,90386
08/04/2021,Chile,1051270
08/04/2021,Australia,29390
08/04/2021,Egypt,208082
08/04/2021,United Kingdom,4374370
08/04/2021,United States,31103119
08/04/2021,Hungary,698490
08/04/2021,Japan,496865
08/04/2021,Greenland,31
08/04/2021,South Africa,1554975
08/04/2021,India,13060542
09/04/2021,China,90400
09/04/2021,Chile,1060421
09/04/2021,Australia,29396
09/04/2021,Egypt,208876
09/04/2021,United Kingdom,4369510
09/04/2021,United States,31187782
09/04/2021,Hungary,705815
09/04/2021,Japan,500353
09/04/2021,Greenland,31
09/04/2021,South Africa,1556242
09/04/2021,India,13205926
10/04/2021,China,90410
10/04/2021,Chile,1068522
10/04/2021,Australia,29405
10/04/2021,Egypt,209677
10/04/2021,United Kingdom,4372094
10/04/2021,United States,31258481
10/04/2021,Hungary,713868
10/04/2021,Japan,504118
10/04/2021,Greenland,31
10/04/2021,South Africa,1557527
10/04/2021,India,13358805
11/04/2021,China,90426
11/04/2021,Chile,1076499
11/04/2021,Australia,29419
11/04/2021,Egypt,210489
11/04/2021,United Kingdom,4373824
11/04/2021,United States,31305917
11/04/2021,Hungary,720164
11/04/2021,Japan,506954
11/04/2021,Greenland,31
11/04/2021,South Africa,1558458
11/04/2021,India,13527717
12/04/2021,China,90435
12/04/2021,Chile,1082920
12/04/2021,Australia,29429
12/04/2021,Egypt,211307
12/04/2021,United Kingdom,4377392
12/04/2021,United States,31367939
12/04/2021,Hungary,725241
12/04/2021,Japan,509058
12/04/2021,Greenland,31
12/04/2021,South Africa,1559113
12/04/2021,India,13689453
13/04/2021,China,90447
13/04/2021,Chile,1088710
13/04/2021,Australia,29450
13/04/2021,Egypt,212130
13/04/2021,United Kingdom,4379864
13/04/2021,United States,31448836
13/04/2021,Hungary,728078
13/04/2021,Japan,512510
13/04/2021,Greenland,31
13/04/2021,South Africa,1559960
13/04/2021,India,13873825
14/04/2021,China,90457
14/04/2021,Chile,1094267
14/04/2021,Australia,29469
14/04/2021,Egypt,212961
14/04/2021,United Kingdom,4382356
14/04/2021,United States,31524451
14/04/2021,Hungary,731675
14/04/2021,Japan,516817
14/04/2021,Greenland,31
14/04/2021,South Africa,1561559
14/04/2021,India,14074564
15/04/2021,China,90468
15/04/2021,Chile,1101698
15/04/2021,Australia,29484
15/04/2021,Egypt,213798
15/04/2021,United Kingdom,4385028
15/04/2021,United States,31598416
15/04/2021,Hungary,736982
15/04/2021,Japan,521386
15/04/2021,Greenland,31
15/04/2021,South Africa,1562931
15/04/2021,India,14291917
16/04/2021,China,90483
16/04/2021,Chile,1109311
16/04/2021,Australia,29499
16/04/2021,Egypt,214639
16/04/2021,United Kingdom,4387784
16/04/2021,United States,31681932
16/04/2021,Hungary,742198
16/04/2021,Japan,525910
16/04/2021,Greenland,31
16/04/2021,South Africa,1564355
16/04/2021,India,14526609
17/04/2021,China,90499
17/04/2021,Chile,1117348
17/04/2021,Australia,29519
17/04/2021,Egypt,215484
17/04/2021,United Kingdom,4389990
17/04/2021,United States,31737505
17/04/2021,Hungary,746802
17/04/2021,Japan,530703
17/04/2021,Greenland,31
17/04/2021,South Africa,1565680
17/04/2021,India,14788003
18/04/2021,China,90510
18/04/2021,Chile,1124718
18/04/2021,Australia,29533
18/04/2021,Egypt,216334
18/04/2021,United Kingdom,4391872
18/04/2021,United States,31781340
18/04/2021,Hungary,750508
18/04/2021,Japan,534787
18/04/2021,Greenland,31
18/04/2021,South Africa,1566769
18/04/2021,India,15061805
19/04/2021,China,90520
19/04/2021,Chile,1131340
19/04/2021,Australia,29556
19/04/2021,Egypt,217186
19/04/2021,United Kingdom,4394835
19/04/2021,United States,31839700
19/04/2021,Hungary,753188
19/04/2021,Japan,537690
19/04/2021,Greenland,31
19/04/2021,South Africa,1567513
19/04/2021,India,15320972
20/04/2021,China,90541
20/04/2021,Chile,1136189
20/04/2021,Australia,29576
20/04/2021,Egypt,218041
20/04/2021,United Kingdom,4397360
20/04/2021,United States,31902207
20/04/2021,Hungary,754833
20/04/2021,Japan,542040
20/04/2021,Greenland,31
20/04/2021,South Africa,1568366
20/04/2021,India,15616130
21/04/2021,China,90547
21/04/2021,Chile,1141403
21/04/2021,Australia,29594
21/04/2021,Egypt,218902
21/04/2021,United Kingdom,4399756
21/04/2021,United States,31966565
21/04/2021,Hungary,757360
21/04/2021,Japan,547326
21/04/2021,Greenland,31
21/04/2021,South Africa,1569935
21/04/2021,India,15930774
22/04/2021,China,90566
22/04/2021,Chile,1148320
22/04/2021,Australia,29638
22/04/2021,Egypt,219774
22/04/2021,United Kingdom,4402484
22/04/2021,United States,32033304
22/04/2021,Hungary,760967
22/04/2021,Japan,552818
22/04/2021,Greenland,31
22/04/2021,South Africa,1571348
22/04/2021,India,16263695
23/04/2021,China,90575
23/04/2021,Chile,1155902
23/04/2021,Australia,29653
23/04/2021,Egypt,220658
23/04/2021,United Kingdom,4405162
23/04/2021,United States,32096236
23/04/2021,Hungary,764394
23/04/2021,Japan,557922
23/04/2021,Greenland,31
23/04/2021,South Africa,1572985
23/04/2021,India,16610481
24/04/2021,China,90588
24/04/2021,Chile,1162811
24/04/2021,Australia,29663
24/04/2021,Egypt,221570
24/04/2021,United Kingdom,4407223
24/04/2021,United States,32151278
24/04/2021,Hungary,767190
24/04/2021,Japan,563517
24/04/2021,Greenland,31
24/04/2021,South Africa,1574370
24/04/2021,India,16960172
25/04/2021,China,90599
25/04/2021,Chile,1169536
25/04/2021,Australia,29680
25/04/2021,Egypt,222523
25/04/2021,United Kingdom,4408935
25/04/2021,United States,32185973
25/04/2021,Hungary,769518
25/04/2021,Japan,568116
25/04/2021,Greenland,31
25/04/2021,South Africa,1575471
25/04/2021,India,17313163
26/04/2021,China,90610
26/04/2021,Chile,1175614
26/04/2021,Australia,29717
26/04/2021,Egypt,223514
26/04/2021,United Kingdom,4410999
26/04/2021,United States,32228184
26/04/2021,Hungary,771454
26/04/2021,Japan,571430
26/04/2021,Greenland,31
26/04/2021,South Africa,1576320
26/04/2021,India,17636186
27/04/2021,China,90622
27/04/2021,Chile,1179772
27/04/2021,Australia,29750
27/04/2021,Egypt,224517
27/04/2021,United Kingdom,4413685
27/04/2021,United States,32280507
27/04/2021,Hungary,772707
27/04/2021,Japan,576391
27/04/2021,Greenland,31
27/04/2021,South Africa,1577200
27/04/2021,India,17997113
28/04/2021,China,90642
28/04/2021,Chile,1184271
28/04/2021,Australia,29773
28/04/2021,Egypt,225528
28/04/2021,United Kingdom,4415851
28/04/2021,United States,32335712
28/04/2021,Hungary,774399
28/04/2021,Japan,582174
28/04/2021,Greenland,31
28/04/2021,South Africa,1578450
28/04/2021,India,18376421
29/04/2021,China,90655
29/04/2021,Chile,1190991
29/04/2021,Australia,29798
29/04/2021,Egypt,226531
29/04/2021,United Kingdom,4418296
29/04/2021,United States,32394510
29/04/2021,Hungary,776983
29/04/2021,Japan,588087
29/04/2021,Greenland,31
29/04/2021,South Africa,1579536
29/04/2021,India,18762976
30/04/2021,China,90671
30/04/2021,Chile,1198245
30/04/2021,Australia,29811
30/04/2021,Egypt,227552
30/04/2021,United Kingdom,4420677
30/04/2021,United States,32452623
30/04/2021,Hungary,779348
30/04/2021,Japan,592771
30/04/2021,Greenland,31
30/04/2021,South Africa,1581210
30/04/2021,India,19164969
01/05/2021,China,90686
01/05/2021,Chile,1203755
01/05/2021,Australia,29824
01/05/2021,Egypt,228584
01/05/2021,United Kingdom,4422584
01/05/2021,United States,32501495
01/05/2021,Hungary,781299
01/05/2021,Japan,598754
01/05/2021,Greenland,31
01/05/2021,South Africa,1582842
01/05/2021,India,19557457
02/05/2021,China,90697
02/05/2021,Chile,1210920
02/05/2021,Australia,29838
02/05/2021,Egypt,229635
02/05/2021,United Kingdom,4424255
02/05/2021,United States,32532062
02/05/2021,Hungary,782892
02/05/2021,Japan,604644
02/05/2021,Greenland,31
02/05/2021,South Africa,1584064
02/05/2021,India,19925517
03/05/2021,China,90714
03/05/2021,Chile,1215815
03/05/2021,Australia,29850
03/05/2021,Egypt,230713
03/05/2021,United Kingdom,4425904
03/05/2021,United States,32576586
03/05/2021,Hungary,784111
03/05/2021,Japan,609108
03/05/2021,Greenland,31
03/05/2021,South Africa,1584961
03/05/2021,India,20282833
04/05/2021,China,90721
04/05/2021,Chile,1219064
04/05/2021,Australia,29865
04/05/2021,Egypt,231803
04/05/2021,United Kingdom,4427850
04/05/2021,United States,32619462
04/05/2021,Hungary,784837
04/05/2021,Japan,613298
04/05/2021,Greenland,31
04/05/2021,South Africa,1586148
04/05/2021,India,20664979
05/05/2021,China,90726
05/05/2021,Chile,1222949
05/05/2021,Australia,29884
05/05/2021,Egypt,232905
05/05/2021,United Kingdom,4429994
05/05/2021,United States,32665537
05/05/2021,Hungary,785967
05/05/2021,Japan,617358
05/05/2021,Greenland,31
05/05/2021,South Africa,1588221
05/05/2021,India,21077410
06/05/2021,China,90739
06/05/2021,Chile,1229248
06/05/2021,Australia,29893
06/05/2021,Egypt,234015
06/05/2021,United Kingdom,4432607
06/05/2021,United States,32711737
06/05/2021,Hungary,787647
06/05/2021,Japan,621728
06/05/2021,Greenland,31
06/05/2021,South Africa,1590370
06/05/2021,India,21491598
07/05/2021,China,90746
07/05/2021,Chile,1235778
07/05/2021,Australia,29906
07/05/2021,Egypt,235140
07/05/2021,United Kingdom,4435097
07/05/2021,United States,32760176
07/05/2021,Hungary,789188
07/05/2021,Japan,627778
07/05/2021,Greenland,31
07/05/2021,South Africa,1592626
07/05/2021,India,21892676
08/05/2021,China,90758
08/05/2021,Chile,1241976
08/05/2021,Australia,29922
08/05/2021,Egypt,236272
08/05/2021,United Kingdom,4437144
08/05/2021,United States,32795890
08/05/2021,Hungary,790564
08/05/2021,Japan,635016
08/05/2021,Greenland,31
08/05/2021,South Africa,1592626
08/05/2021,India,22296081
09/05/2021,China,90769
09/05/2021,Chile,1247469
