date,location,total_cases
09/04/2020,Australia,6108
09/04/2020,Egypt,1699
09/04/2020,United Kingdom,81847
09/04/2020,United States,477495
09/04/2020,Hungary,980
09/04/2020,Japan,5614
09/04/2020,Greenland,11
09/04/2020,South Africa,1934
09/04/2020,India,6725
10/04/2020,China,81907
10/04/2020,Chile,6695
10/04/2020,Australia,6215
10/04/2020,Egypt,1794
10/04/2020,United Kingdom,86171
10/04/2020,United States,511772
10/04/2020,Hungary,1190
10/04/2020,Japan,6250
10/04/2020,Greenland,11
10/04/2020,South Africa,2003
10/04/2020,India,7598
11/04/2020,China,81969
11/04/2020,Chile,7366
11/04/2020,Australia,6303
11/04/2020,Egypt,1939
11/04/2020,United Kingdom,89772
11/04/2020,United States,540696
11/04/2020,Hungary,1310
11/04/2020,Japan,6951
11/04/2020,Greenland,11
11/04/2020,South Africa,2028
11/04/2020,India,8446
12/04/2020,China,82085
12/04/2020,Chile,7652
12/04/2020,Australia,6315
12/04/2020,Egypt,2065
12/04/2020,United Kingdom,93288
12/04/2020,United States,566996
12/04/2020,Hungary,1410
12/04/2020,Japan,7473
12/04/2020,Greenland,11
12/04/2020,South Africa,2173
12/04/2020,India,9205
13/04/2020,China,82159
13/04/2020,Chile,7964
13/04/2020,Australia,6351
13/04/2020,Egypt,2190
13/04/2020,United Kingdom,97480
13/04/2020,United States,594152
13/04/2020,Hungary,1458
13/04/2020,Japan,7773
13/04/2020,Greenland,11
13/04/2020,South Africa,2272
13/04/2020,India,10453
14/04/2020,China,82249
14/04/2020,Chile,8356
14/04/2020,Australia,6415
14/04/2020,Egypt,2350
14/04/2020,United Kingdom,101820
14/04/2020,United States,622467
14/04/2020,Hungary,1512
14/04/2020,Japan,8277
14/04/2020,Greenland,11
14/04/2020,South Africa,2415
14/04/2020,India,11487
15/04/2020,China,82294
15/04/2020,Chile,8712
15/04/2020,Australia,6440
15/04/2020,Egypt,2505
15/04/2020,United Kingdom,106894
15/04/2020,United States,648360
15/04/2020,Hungary,1579
15/04/2020,Japan,8835
15/04/2020,Greenland,11
15/04/2020,South Africa,2506
15/04/2020,India,12322
16/04/2020,China,82341
16/04/2020,Chile,9246
16/04/2020,Australia,6462
16/04/2020,Egypt,2673
16/04/2020,United Kingdom,112197
16/04/2020,United States,677980
16/04/2020,Hungary,1652
16/04/2020,Japan,9398
16/04/2020,Greenland,11
16/04/2020,South Africa,2605
16/04/2020,India,13430
17/04/2020,China,82694
17/04/2020,Chile,9691
17/04/2020,Australia,6522
17/04/2020,Egypt,2844
17/04/2020,United Kingdom,117170
17/04/2020,United States,710997
17/04/2020,Hungary,1763
17/04/2020,Japan,9958
17/04/2020,Greenland,11
17/04/2020,South Africa,2783
17/04/2020,India,14352
18/04/2020,China,82718
18/04/2020,Chile,10598
18/04/2020,Australia,6568
18/04/2020,Egypt,3032
18/04/2020,United Kingdom,121895
18/04/2020,United States,738405
18/04/2020,Hungary,1834
18/04/2020,Japan,10548
18/04/2020,Greenland,11
18/04/2020,South Africa,3034
18/04/2020,India,15722
19/04/2020,China,82735
19/04/2020,Chile,10956
19/04/2020,Australia,6610
19/04/2020,Egypt,3144
19/04/2020,United Kingdom,125758
19/04/2020,United States,763842
19/04/2020,Hungary,1916
19/04/2020,Japan,10914
19/04/2020,Greenland,11
19/04/2020,South Africa,3158
19/04/2020,India,17615
20/04/2020,China,82747
20/04/2020,Chile,11375
20/04/2020,Australia,6623
20/04/2020,Egypt,3333
20/04/2020,United Kingdom,130627
20/04/2020,United States,793950
20/04/2020,Hungary,1984
20/04/2020,Japan,11258
20/04/2020,Greenland,11
20/04/2020,South Africa,3300
20/04/2020,India,18539
21/04/2020,China,82779
21/04/2020,Chile,11700
21/04/2020,Australia,6645
21/04/2020,Egypt,3490
21/04/2020,United Kingdom,135391
21/04/2020,United States,820009
21/04/2020,Hungary,2098
21/04/2020,Japan,11641
21/04/2020,Greenland,11
21/04/2020,South Africa,3465
21/04/2020,India,20080
22/04/2020,China,82790
22/04/2020,Chile,12164
22/04/2020,Australia,6652
22/04/2020,Egypt,3659
22/04/2020,United Kingdom,140884
22/04/2020,United States,849893
22/04/2020,Hungary,2168
22/04/2020,Japan,12037
22/04/2020,Greenland,11
22/04/2020,South Africa,3635
22/04/2020,India,21370
23/04/2020,China,82804
23/04/2020,Chile,12680
23/04/2020,Australia,6662
23/04/2020,Egypt,3891
23/04/2020,United Kingdom,146035
23/04/2020,United States,881850
23/04/2020,Hungary,2284
23/04/2020,Japan,12469
23/04/2020,Greenland,11
23/04/2020,South Africa,3953
23/04/2020,India,23077
24/04/2020,China,82819
24/04/2020,Chile,13174
24/04/2020,Australia,6677
24/04/2020,Egypt,4092
24/04/2020,United Kingdom,151009
24/04/2020,United States,913798
24/04/2020,Hungary,2443
24/04/2020,Japan,12854
24/04/2020,Greenland,11
24/04/2020,South Africa,4220
24/04/2020,India,24530
25/04/2020,China,82827
25/04/2020,Chile,14537
25/04/2020,Australia,6694
25/04/2020,Egypt,4319
25/04/2020,United Kingdom,154778
25/04/2020,United States,944703
25/04/2020,Hungary,2443
25/04/2020,Japan,13186
25/04/2020,Greenland,11
25/04/2020,South Africa,4361
25/04/2020,India,26283
26/04/2020,China,82830
26/04/2020,Chile,15010
26/04/2020,Australia,6714
26/04/2020,Egypt,4534
26/04/2020,United Kingdom,158248
26/04/2020,United States,970663
26/04/2020,Hungary,2500
26/04/2020,Japan,13405
26/04/2020,Greenland,11
26/04/2020,South Africa,4546
26/04/2020,India,27890
27/04/2020,China,82836
27/04/2020,Chile,15492
27/04/2020,Australia,6721
27/04/2020,Egypt,4782
27/04/2020,United Kingdom,162953
27/04/2020,United States,995338
27/04/2020,Hungary,2583
27/04/2020,Japan,13576
27/04/2020,Greenland,11
27/04/2020,South Africa,4793
27/04/2020,India,29451
28/04/2020,China,82858
28/04/2020,Chile,16044
28/04/2020,Australia,6744
28/04/2020,Egypt,5042
28/04/2020,United Kingdom,167676
28/04/2020,United States,1019919
28/04/2020,Hungary,2649
28/04/2020,Japan,13860
28/04/2020,Greenland,11
28/04/2020,South Africa,4996
28/04/2020,India,31324
29/04/2020,China,82862
29/04/2020,Chile,16564
29/04/2020,Australia,6752
29/04/2020,Egypt,5268
29/04/2020,United Kingdom,173113
29/04/2020,United States,1046779
29/04/2020,Hungary,2727
29/04/2020,Japan,14076
29/04/2020,Greenland,11
29/04/2020,South Africa,5350
29/04/2020,India,33062
30/04/2020,China,82874
30/04/2020,Chile,17702
30/04/2020,Australia,6766
30/04/2020,Egypt,5537
30/04/2020,United Kingdom,178074
30/04/2020,United States,1076475
30/04/2020,Hungary,2775
30/04/2020,Japan,14284
30/04/2020,Greenland,11
30/04/2020,South Africa,5647
30/04/2020,India,34863
01/05/2020,China,82875
01/05/2020,Chile,18687
01/05/2020,Australia,6778
01/05/2020,Egypt,5895
01/05/2020,United Kingdom,182807
01/05/2020,United States,1111361
01/05/2020,Hungary,2863
01/05/2020,Japan,14558
01/05/2020,Greenland,11
01/05/2020,South Africa,5951
01/05/2020,India,37257
02/05/2020,China,82875
02/05/2020,Chile,21213
02/05/2020,Australia,6799
02/05/2020,Egypt,6193
02/05/2020,United Kingdom,186029
02/05/2020,United States,1138134
02/05/2020,Hungary,2942
02/05/2020,Japan,14861
02/05/2020,Greenland,11
02/05/2020,South Africa,6336
02/05/2020,India,39699
03/05/2020,China,82880
03/05/2020,Chile,22441
03/05/2020,Australia,6822
03/05/2020,Egypt,6465
03/05/2020,United Kingdom,189003
03/05/2020,United States,1161871
03/05/2020,Hungary,2998
03/05/2020,Japan,15061
03/05/2020,Greenland,11
03/05/2020,South Africa,6783
03/05/2020,India,42505
04/05/2020,China,82881
04/05/2020,Chile,23421
04/05/2020,Australia,6847
04/05/2020,Egypt,6813
04/05/2020,United Kingdom,192382
04/05/2020,United States,1185667
04/05/2020,Hungary,3035
04/05/2020,Japan,15229
04/05/2020,Greenland,11
04/05/2020,South Africa,7220
04/05/2020,India,46437
05/05/2020,China,82883
05/05/2020,Chile,24794
05/05/2020,Australia,6875
05/05/2020,Egypt,7201
05/05/2020,United Kingdom,196067
05/05/2020,United States,1209670
05/05/2020,Hungary,3065
05/05/2020,Japan,15354
05/05/2020,Greenland,11
05/05/2020,South Africa,7572
05/05/2020,India,49400
06/05/2020,China,82885
06/05/2020,Chile,25826
06/05/2020,Australia,6894
06/05/2020,Egypt,7588
06/05/2020,United Kingdom,199899
06/05/2020,United States,1234160
06/05/2020,Hungary,3111
06/05/2020,Japan,15455
06/05/2020,Greenland,11
06/05/2020,South Africa,7808
06/05/2020,India,52987
07/05/2020,China,82886
07/05/2020,Chile,27359
07/05/2020,Australia,6913
07/05/2020,Egypt,7981
07/05/2020,United Kingdom,203666
07/05/2020,United States,1261894
07/05/2020,Hungary,3150
07/05/2020,Japan,15553
07/05/2020,Greenland,11
07/05/2020,South Africa,8232
07/05/2020,India,56351
08/05/2020,China,82887
08/05/2020,Chile,28750
08/05/2020,Australia,6918
08/05/2020,Egypt,8476
08/05/2020,United Kingdom,206715
08/05/2020,United States,1289091
08/05/2020,Hungary,3178
08/05/2020,Japan,15640
08/05/2020,Greenland,11
08/05/2020,South Africa,8895
08/05/2020,India,59695
09/05/2020,China,82901
09/05/2020,Chile,32208
09/05/2020,Australia,6939
09/05/2020,Egypt,8964
09/05/2020,United Kingdom,208865
09/05/2020,United States,1313558
09/05/2020,Hungary,3213
09/05/2020,Japan,15755
09/05/2020,Greenland,11
